Month;Profit;Perc;Succ;Loss;Ttl
2021-03;7.2%;0.00290;527;216;743
2021-04;36.6%;0.00290;480;235;715
2021-05;64.6%;0.00290;597;147;744
2021-06;52.6%;0.00290;567;153;720
2021-07;2.6%;0.00290;466;278;744
2021-08;19.0%;0.00290;472;268;740
2021-09;11.3%;0.00290;445;273;718
2021-10;22.9%;0.00290;468;276;744
2021-11;27.4%;0.00290;444;276;720
2021-12;25.9%;0.00290;477;267;744
2022-01;28.1%;0.00290;455;289;744
2022-02;-5.0%;0.00290;403;269;672
2022-03;-1.5%;0.00290;400;344;744
2022-04;16.4%;0.00290;340;380;720
2022-05;27.1%;0.00290;432;312;744
2022-06;11.3%;0.00290;464;256;720
2022-07;-4.4%;0.00290;472;272;744
2022-08;11.0%;0.00290;378;366;744
2022-09;14.7%;0.00290;411;309;720
2022-10;0.2%;0.00290;154;302;456
